id_sensor,date,time,pm1,pm25,pm10,co,temperature,humidity,pressure
2,2024-07-02,13:13:00,34,42,49,7.910358906,25.69999886,56.0,908.9143677
1,2024-07-02,13:13:04,32,40,45,9.578705788,25.89999962,58.29999924,924.8737793
2,2024-07-02,13:13:30,34,42,48,7.93329668,25.69999886,56.29999924,908.9199829
1,2024-07-02,13:13:34,32,40,45,9.578705788,25.89999962,58.29999924,924.897522
2,2024-07-02,13:14:00,34,42,47,7.95626688,25.60000038,56.70000076,908.9171753
1,2024-07-02,13:14:04,34,42,47,9.578705788,25.89999962,58.29999924,924.8439331
2,2024-07-02,13:14:30,33,41,47,7.927560806,25.60000038,56.59999847,908.9215088
1,2024-07-02,13:14:34,33,41,46,9.578705788,25.89999962,58.29999924,924.8901367
2,2024-07-02,13:15:00,35,43,48,7.916092396,25.60000038,56.40000153,908.9032593
1,2024-07-02,13:15:04,32,40,45,9.578705788,25.89999962,58.40000153,924.8850098
2,2024-07-02,13:15:30,34,42,47,7.853142738,25.5,56.09999847,908.9181519
1,2024-07-02,13:15:34,34,42,47,9.578705788,25.89999962,58.29999924,924.8652954
2,2024-07-02,13:16:00,34,42,47,7.893174648,25.5,56.29999924,908.9124756
1,2024-07-02,13:16:04,35,43,48,9.578705788,25.89999962,58.29999924,924.8786011
2,2024-07-02,13:16:30,32,40,45,7.898902416,25.5,56.59999847,908.9187622
1,2024-07-02,13:16:34,32,40,45,9.578705788,25.89999962,58.40000153,924.8517456
2,2024-07-02,13:17:00,33,41,47,7.893174648,25.5,56.5,908.8770142
1,2024-07-02,13:17:04,31,39,44,9.578705788,25.89999962,58.40000153,924.9095459
2,2024-07-02,13:17:30,34,42,48,7.898902416,25.5,56.70000076,908.895752
1,2024-07-02,13:17:34,32,40,45,9.578705788,25.89999962,58.40000153,924.9023438
2,2024-07-02,13:18:00,32,40,45,7.910358906,25.5,56.70000076,908.8632202
1,2024-07-02,13:18:04,33,41,46,9.578705788,25.89999962,58.40000153,924.8911133
2,2024-07-02,13:18:30,33,41,46,7.898902416,25.5,56.5,908.8729858
1,2024-07-02,13:18:34,32,40,45,9.578705788,25.89999962,58.40000153,924.8806152
2,2024-07-02,13:19:00,35,44,49,7.962013245,25.39999962,57.0,908.9018555
1,2024-07-02,13:19:04,32,40,45,9.578705788,25.89999962,58.40000153,924.8496704
2,2024-07-02,13:19:30,37,46,52,7.887449741,25.39999962,56.79999924,908.8869019
1,2024-07-02,13:19:34,32,40,45,9.578705788,25.89999962,58.40000153,924.9004517
2,2024-07-02,13:20:00,36,45,51,7.921825409,25.39999962,57.0,908.8998413
1,2024-07-02,13:20:04,32,40,45,9.578705788,25.89999962,58.40000153,924.8622437
2,2024-07-02,13:20:30,35,43,48,7.962013245,25.39999962,57.0,908.8799438
1,2024-07-02,13:20:34,34,42,47,9.578705788,25.89999962,58.5,924.8317261
2,2024-07-02,13:21:00,34,42,47,7.898902416,25.39999962,57.40000153,908.8877563
1,2024-07-02,13:21:04,34,42,47,9.558384895,25.89999962,58.40000153,924.8591919
1,2024-07-02,13:21:34,33,41,46,9.558384895,25.89999962,58.5,924.8226318
1,2024-07-02,13:22:04,32,40,45,9.558384895,25.89999962,58.5,924.8297729
1,2024-07-02,13:22:34,32,40,45,9.578705788,25.89999962,58.40000153,924.7752075
1,2024-07-02,13:23:04,32,40,45,9.558384895,25.89999962,58.5,924.8029785
1,2024-07-02,13:23:34,31,38,43,9.578705788,25.89999962,58.40000153,924.8339233
1,2024-07-02,13:24:04,31,38,43,9.578705788,25.89999962,58.5,924.8158569
2,2024-07-02,13:24:12,35,43,48,7.864571571,25.39999962,57.20000076,908.8537598
2,2024-07-02,13:24:12,36,45,51,7.870288372,25.29999924,56.59999847,908.8596802
2,2024-07-02,13:24:12,36,45,51,7.870288372,25.29999924,56.59999847,908.84375
2,2024-07-02,13:24:12,36,45,51,7.870288372,25.29999924,56.59999847,908.8543701
2,2024-07-02,13:24:12,36,45,51,7.870288372,25.29999924,56.59999847,908.8384399
2,2024-07-02,13:24:30,35,44,49,7.796115398,25.29999924,56.70000076,908.8468628
1,2024-07-02,13:24:34,32,40,45,9.578705788,25.79999924,58.5,924.8189087
2,2024-07-02,13:25:00,34,42,47,7.807506084,25.29999924,57.0,908.8532715
1,2024-07-02,13:25:04,33,41,46,9.578705788,25.89999962,58.40000153,924.8044434
2,2024-07-02,13:25:30,34,42,48,7.847432137,25.29999924,57.29999924,908.7818604
1,2024-07-02,13:25:34,32,40,45,9.558384895,25.89999962,58.40000153,924.8010864
2,2024-07-02,13:26:00,33,41,46,7.824605942,25.29999924,57.09999847,908.831665
1,2024-07-02,13:26:04,31,39,44,9.558384895,25.79999924,58.40000153,924.8192749
2,2024-07-02,13:26:30,33,41,46,7.818904877,25.29999924,57.09999847,908.8119507
1,2024-07-02,13:26:34,30,37,41,9.558384895,25.79999924,58.5,924.7645874
2,2024-07-02,13:27:00,35,44,49,7.818904877,25.29999924,57.09999847,908.7715454
1,2024-07-02,13:27:04,30,37,41,9.558384895,25.89999962,58.40000153,924.7692261
2,2024-07-02,13:27:30,34,42,47,7.836016655,25.29999924,57.09999847,908.7466431
1,2024-07-02,13:27:34,31,39,44,9.538079262,25.79999924,58.29999924,924.7796631
